condition,image,nucleus_count,cytoplasm_count,total_count
DMSO,MCF7_AREG_DMSO_001_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_002_ch1_projection.tif,1,0,1
DMSO,MCF7_AREG_DMSO_003_ch1_projection.tif,2,0,2
DMSO,MCF7_AREG_DMSO_004_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_005_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_006_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_007_ch1_projection.tif,0,1,1
DMSO,MCF7_AREG_DMSO_008_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_009_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_010_ch1_projection.tif,3,0,3
DMSO,MCF7_AREG_DMSO_011_ch1_projection.tif,1,0,1
DMSO,MCF7_AREG_DMSO_012_ch1_projection.tif,2,0,2
DMSO,MCF7_AREG_DMSO_013_ch1_projection.tif,1,0,1
DMSO,MCF7_AREG_DMSO_014_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_015_ch1_projection.tif,1,0,1
DMSO,MCF7_AREG_DMSO_016_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_017_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_018_ch1_projection.tif,1,0,1
DMSO,MCF7_AREG_DMSO_019_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_020_ch1_projection.tif,3,0,3
DMSO,MCF7_AREG_DMSO_021_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_022_ch1_projection.tif,1,0,1
DMSO,MCF7_AREG_DMSO_023_ch1_projection.tif,0,0,0
DMSO,MCF7_AREG_DMSO_024_ch1_projection.tif,2,0,2
DMSO,MCF7_AREG_DMSO_025_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_301_ch1_projection.tif,2,0,2
JQ1,MCF7_AREG_JQ1_302_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_303_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_304_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_305_ch1_projection.tif,1,0,1
JQ1,MCF7_AREG_JQ1_306_ch1_projection.tif,1,0,1
JQ1,MCF7_AREG_JQ1_307_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_308_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_309_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_310_ch1_projection.tif,1,0,1
JQ1,MCF7_AREG_JQ1_311_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_312_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_313_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_314_ch1_projection.tif,1,0,1
JQ1,MCF7_AREG_JQ1_315_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_316_ch1_projection.tif,1,0,1
JQ1,MCF7_AREG_JQ1_317_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_318_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_319_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_320_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_321_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_322_ch1_projection.tif,1,0,1
JQ1,MCF7_AREG_JQ1_323_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_324_ch1_projection.tif,0,0,0
JQ1,MCF7_AREG_JQ1_325_ch1_projection.tif,1,0,1
TSA,MCF7_AREG_TSA_601_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_602_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_603_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_604_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_605_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_606_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_607_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_608_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_609_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_610_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_611_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_612_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_613_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_614_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_615_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_616_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_617_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_618_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_619_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_620_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_621_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_622_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_623_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_624_ch1_projection.tif,0,0,0
TSA,MCF7_AREG_TSA_625_ch1_projection.tif,0,0,0
